comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanadas),2,slice,160,8,28,2,4,Porcion doble
Desayuno,07:00,Cafe con leche de cabra,200,ml,60,4,5.5,2.5,0,
Batido post-entreno,10:00,Whey protein (2 scoops),60,g,233.3,48,4,2.7,0,
Batido post-entreno,10:00,Crema de arroz,60,g,220.2,4.2,49.8,0.6,0.6,Porcion aumentada
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano grande,1,unit,121,1.5,31,0.4,3.5,
Comida,13:00,Pechuga de pollo plancha,200,g,330,62,0,7.2,0,
Comida,13:00,Arroz blanco cocido,230,g,299,6.2,64.9,0.7,0.9,Porcion aumentada
Comida,13:00,Brocoli al vapor,150,g,51,4.2,10.5,0.6,3.9,
Comida,13:00,AOVE,10,ml,88.4,0,0,10,0,
Snack pre-cardio,16:30,Yogur sin lactosa natural,150,g,66,6,7.2,1.8,0,Kaiku o Hacendado
Snack pre-cardio,16:30,Almendras,30,g,173.7,6.4,6.5,14.8,3.8,Porcion aumentada
Snack pre-cardio,16:30,Manzana,1,unit,80,0.5,21,0.3,3.5,
Post-cardio,18:00,Pavo en lonchas,100,g,105,21,1,1.5,0,
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Salmon al horno,160,g,332.8,32,0,20.8,0,
Cena,20:30,Patata al horno,260,g,200.2,5.2,44.2,0.3,5.7,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),200,g,34,2,5.4,0.6,2.6,Sin cebolla
Cena,20:30,AOVE,8,ml,70.7,0,0,8,0,
TOTAL,,—,,,2793.3,224.9,285.1,85.4,31.5,
