comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanadas),2,slice,160,8,28,2,4,Porcion doble
Desayuno,07:00,Cafe con leche de cabra,200,ml,60,4,5.5,2.5,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,60,g,220.2,4.2,49.8,0.6,0.6,Porcion aumentada
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Tortilla francesa (4 huevos),4,unit,280,24,2,20,0,
Comida,13:00,Ensalada mixta grande,250,g,47.5,3,7.5,0.8,3.8,Sin cebolla
Comida,13:00,Pavo en lonchas,100,g,105,21,1,1.5,0,Extra proteina
Comida,13:00,Arroz blanco cocido,230,g,299,6.2,64.9,0.7,0.9,Porcion aumentada
Comida,13:00,AOVE,8,ml,70.7,0,0,8,0,
Snack pre-cardio,16:30,Yogur sin lactosa natural,150,g,66,6,7.2,1.8,0,Kaiku o Hacendado
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Nueces,30,g,196.2,4.6,4.1,19.6,2,Porcion aumentada
Snack pre-cardio,16:30,Melocoton,1,unit,58,1,14,0.4,2,
Post-cardio,18:00,Pavo en lonchas,100,g,105,21,1,1.5,0,Dia de descanso - snack ligero
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Lomo de cerdo plancha,180,g,257.4,48.6,0,5.4,0,
Cena,20:30,Patata al horno,260,g,200.2,5.2,44.2,0.3,5.7,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),200,g,34,2,5.4,0.6,2.6,Sin cebolla
Cena,20:30,AOVE,8,ml,70.7,0,0,8,0,
TOTAL,,—,,,2736.2,221.8,271.7,87.4,27.7,Dia de descanso
