comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanadas),2,slice,160,8,28,2,4,Porcion doble
Desayuno,07:00,Cafe con leche de cabra,200,ml,60,4,5.5,2.5,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,60,g,220.2,4.2,49.8,0.6,0.6,Porcion aumentada
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Pechuga de pollo plancha,200,g,330,62,0,7.2,0,
Comida,13:00,Arroz blanco cocido,240,g,312,6.5,67.7,0.7,1,Porcion aumentada
Comida,13:00,Calabacin al vapor,150,g,25.5,1.8,4.7,0.5,1.5,
Comida,13:00,AOVE,10,ml,88.4,0,0,10,0,
Snack pre-cardio,16:30,Yogur sin lactosa natural,150,g,66,6,7.2,1.8,0,Kaiku o Hacendado
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Nueces,30,g,196.2,4.6,4.1,19.6,2,Porcion aumentada
Snack pre-cardio,16:30,Pera,1,unit,85,0.5,22,0.2,4.5,
Post-cardio,18:00,Pavo en lonchas,100,g,105,21,1,1.5,0,
Post-cardio,18:00,Zanahoria,100,g,41,0.9,10,0.2,2.8,
Cena,20:30,Merluza al horno,250,g,205,43,0,1.8,0,
Cena,20:30,Patata al horno,280,g,215.6,5.6,47.6,0.3,6.2,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),200,g,34,2,5.4,0.6,2.6,Sin cebolla
Cena,20:30,AOVE,10,ml,88.4,0,0,10,0,
TOTAL,,—,,,2723.6,232.4,286.5,73.1,30.8,
