comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (3 enteros),3,unit,210,18.0,1.5,15.0,0.0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4.0,14.0,1.0,2.0,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3.0,4.0,2.0,0.0,150ml leche de cabra entera
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,117,24.0,2.0,1.4,0.0,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1.0,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27.0,0.4,3.1,
Comida,13:00,Pechuga de pollo plancha,185,g,222,41.6,0.0,4.8,0.0,Pesar crudo. Valores USDA crudo (120 kcal/100g)
Comida,13:00,Arroz blanco,30,g,109,2.0,23.8,0.2,0.2,Pesar en crudo
Comida,13:00,Pimientos asados,150,g,47,1.5,9.0,0.4,3.2,Sin aceite
Snack pre-cardio,16:30,Yogur vegetal natural Danone,125,g,83,4.6,9.4,2.6,1.1,Danone vegetal natural
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,117,24.0,2.0,1.4,0.0,
Snack pre-cardio,16:30,Nueces,16,g,105,2.4,2.2,10.4,1.1,Pesar exacto en bascula
Snack pre-cardio,16:30,Mandarina,2,unit,76,1.3,19.2,0.5,2.6,2 unidades medianas
Cena,20:30,Salmon al horno,120,g,250,24.0,0.0,15.6,0.0,Pesar crudo
Cena,20:30,Patata al horno,120,g,92,2.4,20.4,0.1,2.6,Pesar cruda
Cena,20:30,Brocoli al vapor,200,g,68,5.6,14.0,0.8,5.2,Sin aceite
Cena,20:30,Ensalada (lechuga tomate pepino),150,g,26,1.5,4.1,0.4,2.0,Sin cebolla sin aliño. Sal marina 1.5g.
TOTAL,,—,,,1763,162.2,154.1,57.6,25.6,Pull+LISS. Sin AOVE. Sin post-cardio. Pollo USDA crudo.
